Datetime,Observation
1999-02-17,121.730805
1999-03-05,121.495826
1999-06-25,124.5523105
1999-07-11,124.1164464
1999-07-19,124.0958375
1999-07-27,123.6827683
1999-08-04,125.6276878
1999-08-12,123.1825652
1999-08-20,123.1507262
1999-08-28,124.0175892
1999-09-21,122.9087337
2000-03-31,122.3658639
2000-06-03,124.0465049
2000-07-05,124.2468278
2000-07-21,124.4888489
2000-11-10,123.3701475
2000-11-26,122.6763029
2000-12-12,123.4574719
2001-03-18,120.4324755
2001-05-21,122.654861
2001-06-06,123.5139183
2001-06-22,123.6306191
2001-08-09,123.133811
2001-08-25,123.6629925
2001-09-10,123.6859159
2001-10-12,122.2542838
2001-10-28,122.7582759
2001-11-13,122.4693774
2001-11-29,122.3557509
2001-12-31,118.237461
2002-02-17,122.2067261
2002-04-06,122.3710939
2002-05-08,122.926847
2002-06-09,123.251815
2002-07-11,128.4585684
2002-08-12,125.5145705
2002-08-28,128.2277734
2002-09-13,126.5903064
2002-10-31,123.6936389
2002-12-02,126.7077845
2003-01-19,122.474566
2003-04-09,121.9471941
2003-05-11,123.0740978
2003-07-06,123.7887448
2003-07-30,124.7920498
2003-08-15,123.1993158
2003-08-31,123.7045203
2003-10-02,124.7526857
2003-10-10,124.2463613
2003-10-18,126.2002636
2003-11-11,125.7355989
2003-12-13,124.3724027
2003-12-21,124.7486531
2004-03-26,123.8953774
2004-04-19,123.8190083
2004-05-05,123.7613449
2004-05-13,124.9480463
2004-05-21,124.9034368
2004-05-29,126.2291966
2004-06-06,125.8686438
2004-06-14,126.2278146
2004-06-22,127.0818061
2004-06-30,128.3473127
2004-07-08,128.6374866
2004-07-16,128.3760717
2004-08-01,NaN
2004-08-09,127.867971
2004-09-10,125.1994343
2004-09-18,127.5376094
2004-09-26,125.2152672
2004-10-04,123.9778079
2004-10-12,124.9432161
2004-10-28,124.1989655
2004-11-13,124.7725282
2004-11-29,123.0051534
2004-12-15,123.6476287
2005-01-16,122.2039579
2005-02-01,122.3295039
2005-02-25,120.5104623
2005-03-13,121.658332
2005-03-21,122.653747
2005-04-22,122.9698281
2005-05-08,121.6854235
2005-06-01,125.8407397
2005-06-09,125.7832043
2005-07-03,123.4183864
2005-07-19,124.4912439
2005-07-27,124.8499799
2005-08-12,125.6784108
2005-09-13,123.3465884
2005-09-21,123.692811
2005-09-29,123.850611
2005-10-23,124.1899117
2005-12-10,121.8146566
2005-12-26,121.6629194
2006-01-11,121.1666926
2006-01-27,120.1922366
2006-04-09,123.3691038
2006-04-17,122.6641673
2006-05-03,123.0007681
2006-05-19,123.2108967
2006-06-04,126.9055085
2006-06-12,124.2297667
2006-06-20,NaN
2006-06-28,124.8213779
2006-07-06,124.5836892
2006-07-30,124.5541023
2006-08-23,123.8691513
2006-09-16,125.4417025
2006-09-24,125.1149789
2006-10-02,122.5485588
2006-11-11,125.45532
2006-11-19,123.1397125
2006-12-05,124.3335028
2006-12-21,122.0724173
2007-01-14,122.7833135
2007-01-22,122.4001021
2007-01-30,122.9234497
2007-02-07,122.8975193
2007-02-15,122.0695005
2007-02-23,122.9204845
2007-03-03,122.8694577
2007-03-11,121.7639682
2007-03-19,121.6469739
2007-05-06,121.6236739
2007-05-14,122.5943599
2007-05-22,122.6217307
2007-05-30,NaN
2007-06-23,124.8511522
2007-07-17,123.9744048
2007-07-25,127.9039233
2007-08-18,124.5892871
2007-08-26,126.4753978
2007-09-11,122.5407466
2007-09-19,122.9585797
2007-09-27,124.5435524
2007-10-05,123.8309166
2007-10-13,127.7872526
2007-10-29,125.812423
2007-11-14,123.1570092
2008-02-26,119.9926559
2008-03-13,121.0203483
2008-04-06,122.6452736
2008-05-08,121.7436344
2008-05-24,121.5727984
2008-06-25,124.9548187
2008-07-11,124.031418
2008-07-27,125.7226763
2008-08-12,126.6256986
2008-09-29,127.7902802
2008-10-07,124.3443799
2008-11-16,NaN
2008-11-24,NaN
2008-12-02,123.7661073
2008-12-18,123.1758543
2008-12-26,126.6838971
2009-01-19,122.7556819
2009-03-16,122.618757
2009-03-24,120.0712824
2009-04-09,118.88573
2009-04-17,119.9386444
2009-04-25,119.1954325
2009-06-12,124.7431702
2009-07-06,123.4772354
2009-07-14,123.4964492
2009-07-22,122.1248757
2009-07-30,123.1613224
2009-08-07,123.2582505
2009-08-15,125.2113769
2009-08-23,123.5555582
2009-08-31,122.7546089
2009-09-08,122.9138983
2009-09-24,122.6357321
2009-11-03,121.9856712
2009-11-11,123.3916822
2009-11-19,122.8247729
2009-12-13,123.0029437
2009-12-21,126.3836249
2010-01-06,121.5800774
2010-01-22,122.0741299
2010-04-12,121.382686
2010-04-28,119.0676923
2010-05-14,122.2339955
2010-06-15,124.0138428
2010-07-01,NaN
2010-07-17,124.8309914
2010-08-18,125.3414928
2010-10-21,127.1778202
2010-11-14,124.0559495
2010-11-22,120.8461005
2011-01-01,126.0236127
2011-01-17,119.4124532
2011-02-02,126.121517
2011-02-26,121.3520723
2011-03-30,121.3129891
2011-04-07,123.2656489
2011-04-15,121.9116207
2011-05-01,123.9028795
2011-05-17,126.3907506
2011-06-18,123.7380156
2011-07-04,125.6283929
2011-08-05,123.6248517
2011-08-21,123.7827218
2011-08-29,127.2819078
2011-09-06,124.6838499
