Datetime,Sealevel
1950,0.012833333
1951,0.026083333
1952,0.008166667
1953,-0.010666667
1954,-0.012166667
1955,0.034583333
1956,0.052
1957,-8.33E-05
1958,0.021916667
1959,-0.004666667
1960,0.002166667
1961,-0.027833333
1962,0.007166667
1963,-0.003083333
1964,0.051833333
1965,-0.001083333
1966,0.002666667
1967,-0.005833333
1968,0.026416667
1969,-0.018916667
1970,-0.00225
1971,0.018416667
1972,-0.003916667
1973,0.03375
1974,0.062916667
1975,0.03325
1976,0.066416667
1977,0.016833333
1978,0.048833333
1979,-0.006166667
1980,0.022833333
1981,0.037166667
1982,-0.013
1983,-0.017
1984,0.038833333
1985,0.033416667
1986,0.032
1987,0.001
1988,0.045083333
1989,0.051916667
1990,0.07025
1991,0.039083333
1992,0.03125
1993,-0.004583333
1994,0.005333333
1995,0.0105
1996,0.022583333
1997,-0.02425
1998,0.040666667
1999,0.030083333
2000,0.047083333
2001,0.093583333
2002,0.03775
2003,0.032916667
2004,0.028833333
2005,0.043166667
2006,0.025416667
2007,0.049583333
2008,0.0445
2009,0.052416667
2010,0.057583333
2011,0.08025
2012,0.059
2013,0.11275
2014,0.084416667
2015,0.07125
2016,0.121583333
2017,0.100666667
2018,0.061416667
